Metlink_Stop_ID,Route_Number,Route_Name,Direction,Tram_Stop_Name,Stop_Sequence,Tram_Tracker_ID,VicgridX,VicgridY,Boardings,Alightings,DailyUse
21102,75,Vermont South to City(La Trobe/Spencer St),Up,62-Elgar Rd/Burwood Hwy (Burwood),0014,1962,2509543.566,2405713.163,35.8080356121,68.3607962132,104.168831825
21103,75,City(La Trobe/Spencer St) to Vermont South,Down,63-Deakin University/Burwood Hwy (Burwood),0066,2963,2510141.965,2405668.065,74.7783370018,327.155228138,401.93356514
21104,75,Vermont South to City(La Trobe/Spencer St),Up,63-Deakin University/Burwood Hwy (Burwood),0013,1963,2510141.074,2405659.186,74.8713493347,166.019077778,240.890427113
21105,75,Vermont South to City(La Trobe/Spencer St),Up,64-Station St/Burwood Hwy (Burwood),0012,1964,2510501.837,2405605.467,55.3396916389,22.7869319916,78.1266236305
21106,75,City(La Trobe/Spencer St) to Vermont South,Down,64-Station St/Burwood Hwy (Burwood),0067,2964,2510612.717,2405598.668,21.8103485107,46.7364616394,68.5468101501
21107,75,City(La Trobe/Spencer St) to Vermont South,Down,65-Starling St/Burwood Hwy (Burwood),0068,2965,2511089.619,2405527.018,21.8103489876,6.23152828217,28.0418772697
21108,75,Vermont South to City(La Trobe/Spencer St),Up,65-Starling St/Burwood Hwy (Burwood),0011,1965,2511116.884,2405514.773,55.3396923542,16.2763798237,71.6160721779
21109,75,Vermont South to City(La Trobe/Spencer St),Up,66-Middleborough Rd/Burwood Hwy (Burwood),0010,1966,2511602.574,2405440.861,81.3819012642,16.2763800621,97.6582813263
21110,75,City(La Trobe/Spencer St) to Vermont South,Down,66-Middleborough Rd/Burwood Hwy (Burwood),0069,2966,2511730.177,2405437.354,18.6945848465,71.6625733376,90.3571581841
21111,75,City(La Trobe/Spencer St) to Vermont South,Down,67-Old Burwood Rd/Burwood Hwy (Burwood East),0070,2967,2512160.617,2405503.334,9.34729242325,3.11576414108,12.4630565643
21112,75,Vermont South to City(La Trobe/Spencer St),Up,67-Old Burwood Rd/Burwood Hwy (Burwood East),0009,1967,2512171.173,2405499.989,26.0422079563,6.51055192947,32.5527598858
21113,75,City(La Trobe/Spencer St) to Vermont South,Down,68-Benwerrin Reserve/Burwood Hwy (Burwood East),0071,2968,2512486.264,2405520.613,12.4630565643,34.2734050751,46.7364616394
21114,75,Vermont South to City(La Trobe/Spencer St),Up,68-Benwerrin Reserve/Burwood Hwy (Burwood East),0008,1968,2512495.05,2405510.611,45.57386446,3.25527596474,48.8291404247
21115,75,City(La Trobe/Spencer St) to Vermont South,Down,69-Keats St/Burwood Hwy (Burwood East),0072,2969,2512869.874,2405457.879,9.34729242325,9.34729242325,18.6945848465
21116,75,Vermont South to City(La Trobe/Spencer St),Up,69-Highview Gr/Burwood Hwy (Burwood East),0007,1969,2512878.659,2405447.876,39.0633115768,13.0211038589,52.0844154358
21117,75,Vermont South to City(La Trobe/Spencer St),Up,70-Blackburn Rd/Burwood Hwy (Burwood East),0006,1970,2513332.644,2405371.249,136.721593142,6.51055192947,143.232145071
21118,75,City(La Trobe/Spencer St) to Vermont South,Down,70-Blackburn Rd/Burwood Hwy (Burwood East),0073,2970,2513333.358,2405377.796,46.7364616394,40.5049328804,87.2413945198
21119,75,Vermont South to City(La Trobe/Spencer St),Up,71-Sevenoaks Rd/Burwood Hwy (Burwood East),0005,1971,2513953.774,2405263.022,26.0422077179,3.25527596474,29.2974836826
21120,75,City(La Trobe/Spencer St) to Vermont South,Down,71-Sevenoaks Rd/Burwood Hwy (Burwood East),0074,2971,2513990.736,2405262.96,12.4630565643,21.8103485107,34.2734050751
21121,75,Vermont South to City(La Trobe/Spencer St),Up,72-Lakeside Dr/Burwood Hwy (Burwood East),0004,1972,2514609.749,2405161.237,13.0211038589,16.2763800621,29.2974839211
21122,75,City(La Trobe/Spencer St) to Vermont South,Down,72-Lakeside Dr/Burwood Hwy (Burwood East),0075,2972,2514605.728,2405176.449,6.23152828217,124.630562305,130.862090588
21123,75,Vermont South to City(La Trobe/Spencer St),Up,73-Springvale Rd/Burwood Hwy (Burwood East),0003,1973,2514798.368,2405128.386,65.1055202484,16.2763798237,81.3819000721
