Metlink_Stop_ID,Boardings,Alightings,wk7am7pm
359,5.03636363636,5.27272727273,10.3090909091
3590,15.5,3.0,18.5
3591,7.5,6.0,13.5
3592,5.5,6.5,12.0
3593,11.0,,11.0
3594,1.5,1.5,3.0
3595,6.0,1.5,7.5
3596,15.5,5.5,21.0
3597,6.0,5.0,11.0
3598,13.0,3.0,16.0
3599,18.5,2.0,20.5
36,24.0,3.3,27.3
360,28.0545454545,15.3454545455,43.4
3600,46.0,10.5,56.5
3601,25.5,3.0,28.5
3602,22.5,5.0,27.5
3603,3.0,3.0,6.0
3604,5.0,,5.0
3605,10.0,,10.0
3606,,5.0,5.0
3607,70.2857142857,153.214285714,223.5
3608,3.14285714286,,3.14285714286
3609,3.5,1.0,4.5
361,10.0727272727,5.27272727273,15.3454545455
3610,14.5,6.0,20.5
3611,1.5,12.0,13.5
3612,3.0,4.0,7.0
3615,223.0,49.0,272.0
3616,9.5,4.0,13.5
3617,3.5,2.5,6.0
3618,3.0,11.0,14.0
3619,3.0,18.5,21.5
362,7.67272727273,12.7090909091,20.3818181818
3620,16.0,11.0,27.0
3621,4.0,14.0,18.0
3622,,29.5,29.5
3623,7.5,40.5,48.0
3624,16.5,79.0,95.5
3625,3.0,3.5,6.5
3626,3.5,2.5,6.0
3627,,7.5,7.5
3628,7.5,19.0,26.5
3629,,8.5,8.5
363,,12.7090909091,12.7090909091
3630,2.5,15.5,18.0
3631,2.0,38.6,40.6
3632,17.5,14.5,32.0
3633,66.1578947368,164.263157895,230.421052632
3634,4.5,10.0,14.5
3635,1.0,4.0,5.0
3636,4.0,33.5,37.5
3637,21.8,10.5,32.3
3638,3.0,3.0,6.0
3639,,1.36842105263,1.36842105263
364,185.293416928,271.682340648,456.975757576
3640,19.6,7.0,26.6
3641,8.0,7.5,15.5
3642,2.0,,2.0
3645,24.0,6.0,30.0
3646,1.5,,1.5
3647,1.0,1.0,2.0
3648,1.0,1.0,2.0
3649,4.5,6.0,10.5
365,53.6470219436,25.6338557994,79.2808777429
3650,4.5,,4.5
3651,5.0,,5.0
3652,,3.0,3.0
3653,4.0,1.5,5.5
3654,,2.0,2.0
3656,47.7,15.6,63.3
3657,584.483333333,222.766666667,807.25
3658,3.0,1.0,4.0
3659,26.2333333333,25.2166666667,51.45
366,37.8495297806,,37.8495297806
3660,66.3,22.9333333333,89.2333333333
